Year,Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Sum
2009,South Carolina,389000,508300,1226400,553800,2677500
2009,South Dakota,76500,88300,204700,96700,466200
2009,Tennessee,540000,730200,1754400,748200,3772800
2009,Texas,2355100,3132400,6628200,2407200,14522900
2009,Utah,329400,387900,638200,232400,1587900
2009,Vermont,57200,59800,179500,85000,381500
2009,Virginia,693900,881000,2215800,894100,4684800
2009,Washington,591200,812100,1875500,799400,4078200
2009,West Virginia,151700,197600,501400,247000,1097700
2009,Wisconsin,518600,623500,1606300,670400,3418800
2009,Wyoming,52100,63300,146400,67800,329600
2009,Puerto Rico,395600,477700,1035500,449200,2358000
2010,Alabama,436900,523500,1282300,587100,2829800
2010,Alaska,64000,85700,200000,85500,435200
2010,Arizona,582700,745100,1634700,727300,3689800
2010,Arkansas,258500,315400,766200,351300,1691400
2010,California,3693400,4633500,10298400,4035800,22661100
2010,Colorado,459100,628900,1419200,600200,3107400
2010,Connecticut,283000,361400,1048200,441700,2134300
2010,Delaware,80300,97400,244800,111100,533600
2010,District of Columbia,75500,106200,154100,62400,398200
2010,Florida,1639200,1947000,5089300,2334200,11009700
2010,Georgia,880400,1133400,2742600,1073300,5829700
2010,Hawaii,114800,142500,362300,175500,795100
2010,Idaho,145200,182700,394800,179100,901800
2010,Illinois,1144800,1561900,3559600,1469700,7736000
2010,Indiana,570800,725800,1766800,768200,3831600
2010,Iowa,267000,335900,801000,372300,1776200
2010,Kansas,257000,317700,745200,330200,1650100
2010,Kentucky,378400,490000,1195000,538600,2602000
2010,Louisiana,445500,533300,1189000,534300,2702100
2010,Maine,99000,129000,386000,192000,806000
2010,Maryland,511900,663600,1668100,694300,3537900
2010,Massachusetts,561800,743300,1887300,802600,3995000
2010,Michigan,872400,1021200,2764700,1251400,5909700
2010,Minnesota,447000,637300,1489000,634800,3208100
2010,Mississippi,265600,322000,776800,345600,1710000
2010,Missouri,533600,663900,1618400,718200,3534100
2010,Montana,80000,106400,260000,138500,584900
2010,Nebraska,162200,216300,475300,214200,1068000
2010,Nevada,241000,336900,747600,315500,1641000
2010,New Hampshire,99700,126400,402300,179800,808200
2010,New Jersey,706500,977300,2597600,1046800,5328200
2010,New Mexico,194100,222900,534900,257800,1209700
2010,New York,1794500,2323300,5440300,2302700,11860800
2010,North Carolina,818000,1072500,2652600,1133500,5676600
2010,North Dakota,69800,77900,171400,81500,400600
2010,Ohio,967400,1244400,3184200,1450700,6846700
2010,Oklahoma,335400,430900,970500,435000,2171800
2010,Oregon,337500,461600,1029600,512100,2340800
2010,Pennsylvania,1080100,1316200,3498500,1622900,7517700
2010,Rhode Island,98900,107200,296000,132300,634400
2010,South Carolina,418300,491500,1243400,584800,2738000
2010,South Dakota,71100,88500,209800,95600,465000
2010,Tennessee,543900,716400,1757800,783200,3801300
2010,Texas,2424400,3101500,6775200,2593400,14894500
2010,Utah,300900,395500,636400,239500,1572300
2010,Vermont,47700,62800,178900,90200,379600
2010,Virginia,689600,914000,2268000,957500,4829100
2010,Washington,599200,809300,1873700,838600,4120800
2010,West Virginia,151900,190500,501400,264000,1107800
2010,Wisconsin,501200,621300,1584300,702200,3409000
2010,Wyoming,51400,66400,148900,71900,338600
2010,Puerto Rico,363800,426900,967500,441000,2199200
2011,Alabama,441100,522000,1280100,604300,2847500
2011,Alaska,70700,88000,196500,90500,445700
2011,Arizona,602800,742400,1636700,752000,3733900
2011,Arkansas,253600,333800,757200,361300,1705900
2011,California,3760400,4685900,10286800,4187000,22920100
2011,Colorado,468700,645600,1419400,623300,3157000
2011,Connecticut,278500,370200,1033800,457400,2139900
2011,Delaware,76100,100200,244600,114500,535400
2011,District of Columbia,67600,119000,155000,65800,407400
2011,Florida,1682000,1990300,5061200,2410000,11143500
2011,Georgia,889400,1151000,2733400,1102900,5876700
2011,Hawaii,110900,155600,353600,178200,798300
2011,Idaho,145600,181700,396300,187100,910700
2011,Illinois,1159800,1560300,3516500,1521700,7758300
2011,Indiana,577200,720800,1744700,800100,3842800
2011,Iowa,264100,351600,781400,387700,1784800
2011,Kansas,265900,318200,735000,344500,1663600
2011,Kentucky,373400,490100,1184900,552700,2601100
2011,Louisiana,442200,542500,1180600,550400,2715700
2011,Maine,98700,129800,378500,197400,804400
2011,Maryland,511600,675200,1660700,721500,3569000
2011,Massachusetts,568300,746100,1869800,834600,4018800
2011,Michigan,913800,1019000,2703900,1294800,5931500
2011,Minnesota,460600,643700,1464300,654800,3223400
2011,Mississippi,271900,323100,774300,356600,1725900
2011,Missouri,522600,686500,1590600,748700,3548400
2011,Montana,91400,110000,253100,144500,599000
2011,Nebraska,170200,209200,471800,222500,1073700
2011,Nevada,245900,335400,746700,325800,1653800
2011,New Hampshire,104800,126600,394100,184900,810400
2011,New Jersey,717200,978400,2571100,1075800,5342500
2011,New Mexico,199600,232100,517200,266000,1214900
2011,New York,1833900,2357200,5391800,2367200,11950100
2011,North Carolina,830000,1078300,2642200,1177600,5728100
2011,North Dakota,75600,78800,167100,86200,407700
2011,Ohio,986700,1253500,3123800,1500900,6864900
2011,Oklahoma,337000,437900,960800,453300,2189000
2011,Oregon,347700,472100,1021800,524900,2366500
2011,Pennsylvania,1083200,1328700,3467600,1673400,7552900
2011,Rhode Island,98000,112000,290400,135600,636000
2011,South Carolina,421300,498300,1235400,603800,2758800
2011,South Dakota,71900,90600,205600,100400,468500
2011,Tennessee,560800,727000,1737600,813800,3839200
2011,Texas,2458500,3163000,6815100,2711200,15147800
2011,Utah,307700,392100,644900,255200,1599900
2011,Vermont,50500,61000,175900,93400,380800
2011,Virginia,710400,934000,2246800,984600,4875800
2011,Washington,613700,838600,1860100,872100,4184500
2011,West Virginia,158700,188400,494800,270500,1112400
2011,Wisconsin,499800,634500,1551600,734200,3420100
2011,Wyoming,51600,70100,144800,77100,343600
2011,Puerto Rico,366100,418900,957600,440100,2182700
2012,Alabama,447300,523500,1266800,609700,2847300
2012,Alaska,74800,91000,196000,94300,456100
2012,Arizona,603700,752300,1640500,756600,3753100
2012,Arkansas,261000,333200,751800,359400,1705400
2012,California,3818000,4742800,10290700,4261900,23113400
2012,Colorado,478600,652700,1409300,637000,3177600
2012,Connecticut,291300,368200,1018400,462500,2140400
2012,Delaware,83600,96900,242000,116100,538600
2012,District of Columbia,64100,123600,158400,66200,412300
2012,Florida,1706400,2052100,5075100,2445400,11279000
2012,Georgia,902800,1161700,2726600,1125300,5916400
2012,Hawaii,116300,162600,349300,179900,808100
2012,Idaho,148700,181300,396700,191700,918400
2012,Illinois,1170000,1564000,3486200,1541700,7761900
2012,Indiana,585800,733100,1721100,804600,3844600
2012,Iowa,276500,344400,777100,389000,1787000
2012,Kansas,263500,334400,723700,347800,1669400
2012,Kentucky,380600,488700,1174000,558300,2601600
2012,Louisiana,442400,551800,1168700,557200,2720100
2012,Maine,99000,131300,367300,200600,798200
2012,Maryland,514900,698100,1643700,733200,3589900
2012,Massachusetts,566500,775000,1849800,844800,4036100
2012,Michigan,922900,1016100,2654300,1316000,5909300
2012,Minnesota,441600,671300,1443600,680200,3236700
2012,Mississippi,281500,322600,751900,358400,1714400
2012,Missouri,527500,695700,1562600,753600,3539400
2012,Montana,85900,108900,255900,147200,597900
2012,Nebraska,158500,219000,471200,224900,1073600
2012,Nevada,250900,341700,749600,329500,1671700
2012,New Hampshire,104300,128600,385600,189600,808100
2012,New Jersey,723600,990200,2554700,1096500,5365000
2012,New Mexico,183200,241700,519800,264300,1209000
2012,New York,1839600,2395400,5333200,2405200,11973400
2012,North Carolina,850400,1076500,2654200,1188900,5770000
2012,North Dakota,75000,87000,168300,88400,418700
2012,Ohio,1003300,1250200,3073300,1517000,6843800
2012,Oklahoma,345800,441900,961800,455400,2204900
2012,Oregon,342500,473800,1022400,523900,2362600
2012,Pennsylvania,1112700,1358700,3386800,1702100,7560300
2012,Rhode Island,98400,114300,283400,135300,631400
2012,South Carolina,420600,512200,1227500,603800,2764100
2012,South Dakota,73100,95600,200700,108800,478200
2012,Tennessee,566500,726800,1729100,815700,3838100
2012,Texas,2501100,3236000,6872800,2772200,15382100
2012,Utah,316300,396300,656800,257800,1627200
2012,Vermont,52900,61900,168300,94300,377400
2012,Virginia,705400,964000,2242600,992800,4904800
2012,Washington,616800,849400,1862500,883700,4212400
