Year,Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Sum
2018,Missouri,519900,714300,1470900,823200,3528300
2018,Montana,84500,118800,247800,152000,603100
2018,Nebraska,161600,224800,460200,242200,1088800
2018,Nevada,251100,386200,791200,373600,1802100
2018,New Hampshire,106400,146700,341300,212100,806500
2018,New Jersey,725800,1002400,2365900,1205500,5299600
2018,New Mexico,186400,239200,484500,271000,1181100
2018,New York,1648400,2552500,4945500,2573600,11720000
2018,North Carolina,848600,1179600,2653900,1330700,6012800
2018,North Dakota,78600,99300,170000,96800,444700
2018,Ohio,973600,1345900,2850100,1597400,6767000
2018,Oklahoma,333200,479300,932800,484900,2230200
2018,Oregon,347300,531100,1066100,539100,2483600
2018,Pennsylvania,1027000,1475100,3119700,1794800,7416600
2018,Rhode Island,92700,128900,262200,147700,631500
2018,South Carolina,423000,558000,1243300,673500,2897800
2018,South Dakota,77100,96400,200300,116700,490500
2018,Tennessee,571500,788700,1709100,884500,3953800
2018,Texas,2642800,3631000,7333600,3200800,16808200
2018,Utah,337300,403600,756700,298400,1796000
2018,Vermont,48400,68700,151600,95700,364400
2018,Virginia,702300,997000,2167600,1086400,4953300
2018,Washington,622000,1023700,1913600,955800,4515100
2018,West Virginia,143300,184300,443100,255300,1026000
2018,Wisconsin,489400,644200,1446800,817100,3397500
2018,Wyoming,46600,67500,136700,78800,329600
2018,Puerto Rico,304700,334200,812100,424600,1875600
2019,Alabama,414500,549500,1195300,645000,2804300
2019,Alaska,65300,97500,172900,92800,428500
2019,Arizona,656800,860500,1708100,877500,4102900
2019,Arkansas,253500,335600,723700,383200,1696000
2019,California,3539800,5288800,10152200,4751600,23732400
2019,Colorado,498900,792000,1488600,706600,3486100
2019,Connecticut,297800,390500,895300,510600,2094200
2019,Delaware,75900,111000,227200,135700,549800
2019,District of Columbia,60600,144700,180800,69200,455300
2019,Florida,1680200,2399400,5236000,2872900,12188500
2019,Georgia,917200,1252700,2744000,1284300,6198200
2019,Hawaii,96200,155600,342900,177500,772200
2019,Idaho,148300,210100,423000,218100,999500
2019,Illinois,1070400,1556300,3193400,1635400,7455500
2019,Indiana,593300,771600,1628100,870700,3863700
2019,Iowa,272600,349600,743900,416000,1782100
2019,Kansas,257400,324900,678500,368000,1628800
2019,Kentucky,383900,491400,1096100,592200,2563600
2019,Louisiana,393800,552100,1113600,593300,2652800
2019,Maine,97100,142900,328000,208900,776900
2019,Maryland,474900,720900,1559300,811700,3566800
2019,Massachusetts,581200,875600,1730600,935300,4122700
2019,Michigan,884100,1151600,2398300,1391200,5825200
2019,Minnesota,451900,690600,1387600,752800,3282900
2019,Mississippi,254000,315500,719900,376200,1665600
2019,Missouri,504400,721400,1462200,824200,3512200
2019,Montana,88300,118100,245200,149100,600700
2019,Nebraska,164300,229300,448800,241300,1083700
2019,Nevada,250700,396800,795100,381500,1824100
2019,New Hampshire,102700,150800,339100,213700,806300
2019,New Jersey,711700,1015000,2321300,1212800,5260800
2019,New Mexico,183500,238100,485800,269900,1177300
2019,New York,1632400,2537700,4850700,2579200,11600000
2019,North Carolina,870500,1192200,2635400,1345800,6043900
2019,North Dakota,74500,100400,169900,93200,438000
2019,Ohio,964100,1355100,2819400,1588300,6726900
2019,Oklahoma,349100,471600,927700,487600,2236000
2019,Oregon,347500,529800,1078300,532400,2488000
2019,Pennsylvania,976800,1520200,3071300,1790900,7359200
2019,Rhode Island,89100,129300,256900,150800,626100
2019,South Carolina,409100,578700,1241500,689000,2918300
2019,South Dakota,70100,98100,199900,115900,484000
2019,Tennessee,574000,820300,1687000,890200,3971500
2019,Texas,2647900,3687100,7375600,3233100,16943700
2019,Utah,342700,414800,764200,300000,1821700
2019,Vermont,51200,66400,147900,94400,359900
2019,Virginia,684600,981000,2165300,1104300,4935200
2019,Washington,619900,1028200,1926900,954000,4529000
2019,West Virginia,140600,182300,437000,254000,1013900
2019,Wisconsin,483000,658400,1423000,813700,3378100
2019,Wyoming,46800,65800,136100,75700,324400
2019,Puerto Rico,313200,331600,799900,426800,1871500
