Year,State,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
2003,Alabama,241.28,152.48,79.08,8.96,0.76,0.0,0.0,135.44,72.92,42.0,0.56,0.44,135.88,20.64,74.92,8.84
2003,Alaska,191.28571428571428,178.42857142857142,12.142857142857142,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,141.28571428571428,42.0,17.857142857142858,38.57142857142857,0.0,51.714285714285715,0.0,82.28571428571429,18.714285714285715
2003,Arizona,276.0,146.6153846153846,103.23076923076923,23.53846153846154,2.6153846153846154,0.0,0.0,129.15384615384616,81.0,46.92307692307692,0.46153846153846156,13.307692307692308,176.23076923076923,19.23076923076923,24.0,42.76923076923077
2003,Arkansas,176.28571428571428,117.19047619047619,56.523809523809526,2.1904761904761907,0.3333333333333333,0.047619047619047616,0.0,108.47619047619048,64.95238095238095,43.38095238095238,0.0,0.5238095238095238,66.71428571428571,12.523809523809524,96.52380952380952,0.0
2003,California,340.01851851851853,197.75925925925927,90.64814814814815,33.77777777777778,13.981481481481481,3.388888888888889,0.46296296296296297,576.9629629629629,100.5925925925926,50.629629629629626,1.2037037037037037,33.7037037037037,242.53703703703704,2.425925925925926,50.648148148148145,9.5
2003,Canada,293.6666666666667,277.0,12.666666666666666,4.0,0.0,0.0,0.0,94.33333333333333,42.0,18.333333333333332,0.0,70.33333333333333,58.333333333333336,148.0,17.0,0.0
2003,Colorado,279.0357142857143,219.60714285714286,50.892857142857146,7.357142857142857,1.0,0.17857142857142858,0.0,110.96428571428571,57.142857142857146,30.571428571428573,6.214285714285714,11.071428571428571,119.46428571428571,1.0714285714285714,36.035714285714285,105.17857142857143
2003,Connecticut,287.5,184.25,84.0,14.75,3.375,1.125,0.0,189.875,85.375,44.625,3.875,20.625,175.625,6.25,76.5,4.625
2003,Country Of Mexico,260.3333333333333,86.0,112.0,42.666666666666664,11.666666666666666,5.333333333333333,2.6666666666666665,978.6666666666666,117.66666666666667,64.0,50.666666666666664,18.666666666666668,127.33333333333333,1.3333333333333333,0.0,62.333333333333336
2003,Delaware,303.0,141.66666666666666,123.33333333333333,33.666666666666664,3.0,1.3333333333333333,0.0,210.66666666666666,101.0,52.0,0.0,4.333333333333333,159.66666666666666,40.333333333333336,98.33333333333333,0.3333333333333333
2003,District Of Columbia,365.0,124.0,216.0,21.0,2.0,2.0,0.0,207.0,93.0,58.0,1.0,74.0,63.0,20.0,206.0,1.0
2003,Florida,355.1111111111111,281.1666666666667,62.638888888888886,10.63888888888889,0.6666666666666666,0.0,0.0,142.58333333333334,61.97222222222222,37.30555555555556,0.5833333333333334,3.1944444444444446,240.27777777777777,18.805555555555557,64.88888888888889,27.36111111111111
2003,Georgia,234.13888888888889,149.44444444444446,75.44444444444444,8.416666666666666,0.75,0.08333333333333333,0.0,134.69444444444446,72.52777777777777,40.583333333333336,0.16666666666666666,5.75,101.25,39.111111111111114,82.66666666666667,5.194444444444445
2003,Hawaii,284.75,244.5,6.75,8.75,24.75,0.0,0.0,119.25,73.5,22.25,3.25,2.75,91.0,48.25,48.75,90.75
2003,Idaho,213.27272727272728,177.27272727272728,31.772727272727273,3.1363636363636362,1.0909090909090908,0.0,0.0,97.63636363636364,53.81818181818182,26.545454545454547,8.045454545454545,12.045454545454545,41.77272727272727,25.59090909090909,72.5,53.31818181818182
2003,Illinois,329.48148148148147,237.0,76.29629629629629,15.074074074074074,1.037037037037037,0.07407407407407407,0.0,146.22222222222223,75.85185185185185,36.851851851851855,1.1851851851851851,7.444444444444445,217.55555555555554,47.51851851851852,42.48148148148148,13.296296296296296
2003,Indiana,264.3191489361702,165.12765957446808,78.08510638297872,18.06382978723404,3.0,0.0425531914893617,0.0,159.2340425531915,87.72340425531915,41.319148936170215,1.6808510638297873,4.446808510638298,104.93617021276596,97.27659574468085,49.95744680851064,6.0212765957446805
2003,Iowa,234.28571428571428,165.33333333333334,63.57142857142857,5.380952380952381,0.0,0.0,0.0,107.0,66.47619047619048,37.095238095238095,0.23809523809523808,2.0,89.76190476190476,12.142857142857142,76.47619047619048,53.666666666666664
2003,Kansas,240.25,171.9375,57.375,10.25,0.625,0.0625,0.0,135.1875,70.25,35.5,0.4375,10.0,147.1875,12.125,45.25,25.25
2003,Kentucky,282.6388888888889,188.66666666666666,82.13888888888889,11.13888888888889,0.6666666666666666,0.027777777777777776,0.0,141.16666666666666,77.41666666666667,42.22222222222222,0.1111111111111111,15.416666666666666,187.22222222222223,23.97222222222222,48.111111111111114,7.805555555555555
2003,Louisiana,301.8888888888889,208.37037037037038,79.25925925925925,12.185185185185185,1.8518518518518519,0.2222222222222222,0.0,152.37037037037038,73.51851851851852,40.77777777777778,0.037037037037037035,3.925925925925926,198.5185185185185,5.888888888888889,93.0,0.5185185185185185
2003,Maine,246.15384615384616,220.46153846153845,20.46153846153846,4.384615384615385,0.6923076923076923,0.15384615384615385,0.0,135.6153846153846,52.46153846153846,30.153846153846153,0.0,21.0,179.3846153846154,15.153846153846153,14.307692307692308,16.307692307692307
2003,Maryland,283.84615384615387,174.6153846153846,90.07692307692308,15.384615384615385,2.3076923076923075,1.4615384615384615,0.0,205.46153846153845,91.0,44.53846153846154,0.07692307692307693,6.3076923076923075,195.0,5.384615384615385,74.92307692307692,2.1538461538461537
